task,dataset,alm,N,ACC,P_macro,R_macro,F1_macro,EACC,NACC,CACC
nli,AfriSpeech-200,AudioFlamingo2,300,0.3333333333333333,0.1111111111111111,0.3333333333333333,0.16666666666666666,0.0,1.0,0.0
nli,AfriSpeech-200,AudioFlamingo3,300,0.6366666666666667,0.7398485482970408,0.6366666666666667,0.5466240453818093,0.98,0.04,0.89
nli,AfriSpeech-200,AudioFlamingo3Think,300,0.5666666666666667,0.5713480794616697,0.5666666666666667,0.47219961285283724,0.71,0.04,0.95
nli,AfriSpeech-200,GAMA,300,0.2966666666666667,0.17393511467995756,0.2966666666666667,0.1936134607890333,0.84,0.05,0.0
nli,AfriSpeech-200,Kimi,300,0.6333333333333333,0.7499298737727912,0.6333333333333333,0.5382915783135683,0.87,0.07,0.96
nli,AfriSpeech-200,Qwen2.5Omni,300,0.68,0.7076426698931236,0.68,0.6731241205835334,0.86,0.34,0.84
nli,AfriSpeech-200,Qwen2AudioInstruct,300,0.7133333333333334,0.7282662790088533,0.7133333333333334,0.7122726560652182,0.74,0.53,0.87
nli,AfriSpeech-200,SALMONN,300,0.39666666666666667,0.45195729537366547,0.39666666666666667,0.28142070476484554,0.0,1.0,0.19
nli,Medical,AudioFlamingo2,193,0.30569948186528495,0.10243055555555557,0.3277777777777778,0.15608465608465608,0.0,0.9833333333333333,0.0
nli,Medical,AudioFlamingo3,193,0.6217616580310881,0.5512345679012346,0.5954337899543378,0.5160396986054882,0.9863013698630136,0.016666666666666666,0.7833333333333333
nli,Medical,AudioFlamingo3Think,193,0.43005181347150256,0.5152505446623094,0.4393455098934551,0.3502014564996229,0.3013698630136986,0.05,0.9666666666666667
nli,Medical,GAMA,193,0.37823834196891193,0.26211139632481767,0.3590563165905632,0.30300807043286865,0.6438356164383562,0.43333333333333335,0.0
nli,Medical,Kimi,120,0.65,0.6725861857440805,0.65,0.5994952291390185,0.825,0.2,0.925
nli,Medical,Qwen2.5Omni,193,0.5492227979274611,0.6414489627903203,0.5334855403348554,0.5273978421544474,0.7671232876712328,0.55,0.2833333333333333
nli,Medical,Qwen2AudioInstruct,192,0.5520833333333334,0.5801653500448681,0.5546296296296296,0.5534032998821732,0.5138888888888888,0.6833333333333333,0.4666666666666667
nli,Medical,SALMONN,193,0.36787564766839376,0.60423213911586,0.37366818873668195,0.29604118536265367,0.2876712328767123,0.8,0.03333333333333333
